Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
124928605,Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord Act 1 (Light Novel),Satori Tanabata,"Tanabata, Satori","TEA, Sachi Salehi","=""""","=""""",0,4.19,J-Novel Club,Kindle Edition,293,2023,2019,,2024/04/04,currently-reading,currently-reading (#6),currently-reading,,,,1,0
34845477,The Art of Racing in the Rain,Garth Stein,"Stein, Garth",,"=""""","=""""",1,4.23,HarperCollins e-books,Kindle Edition,337,2009,2008,2024/03/25,2024/03/18,abandoned,abandoned (#1),abandoned,,,,2,0
63897819,"계모인데 딸이 너무 귀여워 2 (Not-Sew-Wicked Stepmom, Vol. 2)",ｉｒｕ,"ｉｒｕ, ｉｒｕ","Yir, 이르, Mo9Rang, 모구랭","=""1164288857""","=""9791164288854""",5,4.38,에이템포미디어,Paperback,304,2022,2021,2024/03/21,2024/03/21,,,read,,,,1,0
62851626,"She Loves to Cook, and She Loves to Eat, Vol. 1",Sakaomi Yuzaki,"Yuzaki, Sakaomi",Caleb David Cook,"=""1975348834""","=""9781975348830""",4,4.41,Yen Press,Kindle Edition,180,2022,2021,2024/03/10,2024/03/05,,,read,,,,1,0
23817793,"Becoming an Alien: How to Overtake, Defend, and Win in iRacing",iRacer X,"X, iRacer",,"=""""","=""""",4,3.60,,Kindle Edition,36,2014,2014,2024/03/06,2024/03/05,,,read,,,,1,0
199444614,The Motor Racing Book - Volume 1. Car Handling,Suellio Almeida,"Almeida, Suellio","Julia Pama, José Altet, Tony Kanaan","=""""","=""""",0,4.54,,Kindle Edition,314,2023,,,2024/03/05,currently-reading,currently-reading (#5),currently-reading,,,,1,0
50725954,"Sweat and Soap, Vol. 1",Kintetsu Yamada,"Yamada, Kintetsu",,"=""1646593367""","=""9781646593361""",4,4.24,Kodansha Comics,ebook,208,2020,2018,2024/03/05,2024/03/05,,,read,,,,1,0
42280533,Surrounded by Idiots: The Four Types of Human Behavior and How to Effectively Communicate with Each in Business (and in Life),Thomas Erikson,"Erikson, Thomas",,"=""1250179955""","=""9781250179951""",0,3.50,St. Martin's Essentials,Kindle Edition,292,2019,2014,,2024/03/05,currently-reading,currently-reading (#4),currently-reading,,,,1,0
62977285,"이번 생도 잘 부탁해 1 (See You in My 19th Life, Vol. 1)",Lee Hey,"Hey, Lee",이혜,"=""""","=""9791191841176""",5,4.36,문페이스,,336,2022,,2024/02/27,2024/02/27,,,read,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",5,4.31,Disney Hyperion Books,Paperback,377,2006,2005,2024/02/17,2024/01/02,,,read,,,,1,0
145624827,"7FATES: CHAKHO, Vol. 1",HYBE,"HYBE, HYBE",BTS,"=""""","=""9798400900570""",5,4.04,Ize Press,Paperback,208,2023,,2024/02/09,2024/02/09,,,read,,,,1,0
194805540,"Overgeared, Vol. 2",Team Argo,"Argo, Team","Adam Jankowski, Park Saenal, Monohumbug(REDICE STUDIO)","=""""","=""9798400900945""",0,4.32,Ize Press,Paperback,288,2024,,2024/02/04,2024/01/24,,,read,,,,1,0
150310190,"Overgeared, Vol. 1",Team Argo,"Argo, Team","Park Saenal, Monohumbug(REDICE STUDIO)","=""""","=""9798400900518""",5,4.10,Ize Press,Paperback,288,2023,,2024/01/23,2024/01/19,,,read,,,,1,0
52132916,"A Man and His Cat, Vol. 1",Umi Sakurai,"Sakurai, Umi",,"=""1646090268""","=""9781646090266""",5,4.43,Square Enix Manga,Paperback,148,2020,2018,2024/01/19,2024/01/01,,,read,,,,1,0
905,The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,"Gallwey, W. Timothy","Pete Carroll, Zach Kleiman","=""0679778314""","=""9780679778318""",5,4.19,Random House Trade Paperbacks,Paperback,134,1997,1974,2024/01/05,2024/01/01,,,read,,,,1,0
61062194,Beyond the Wand: The Magic & Mayhem of Growing Up a Wizard,Tom Felton,"Felton, Tom",,"=""1538741369""","=""9781538741368""",4,4.29,Grand Central Publishing,Hardcover,288,2022,2022,2023/12/31,2023/12/28,,,read,,,,1,0
59745364,"The Savior's Book Cafe Story in Another World, Vol. 1",Kyouka Izumi,"Izumi, Kyouka","Oumiya, Reiko Sakurada","=""1645056694""","=""9781645056690""",4,4.40,Seven Seas,Kindle Edition,164,2021,2019,2023/12/28,2023/12/28,,,read,,,,1,0
61849818,"계모인데 딸이 너무 귀여워 1 (Not-Sew-Wicked Stepmom, Vol. 1)",ｉｒｕ,"ｉｒｕ, ｉｒｕ","Yir, 이르, Mo9Rang, 모구랭","=""""","=""9791164288069""",5,4.23,에이템포미디어 ,,288,2022,2022,2023/12/28,2023/12/26,,,read,,,,1,0
